# Player;Stats
169   Ardian Ismajli Total matches : 21;1,547 (https://www.fotmob.com/en-GB/players/750880/ardian-ismajli)
170   Koni De Winter Total matches : 22;1,546 (https://www.fotmob.com/en-GB/players/1200630/koni-de-winter)
171   Gleison Bremer Total matches : 19;1,545 (https://www.fotmob.com/en-GB/players/857269/gleison-bremer)
172   Eljif Elmas Total matches : 26;1,542 (https://www.fotmob.com/en-GB/players/741049/eljif-elmas)
173   Nikola Stulic Total matches : 28;1,530 (https://www.fotmob.com/en-GB/players/1178314/nikola-stulic)
174   Adrian Semper Total matches : 17;1,530 (https://www.fotmob.com/en-GB/players/747079/adrian-semper)
175   Yerry Mina Total matches : 19;1,523 (https://www.fotmob.com/en-GB/players/496042/yerry-mina)
176   Remo Freuler Total matches : 21;1,521 (https://www.fotmob.com/en-GB/players/201704/remo-freuler)
177   Juan Jesus Total matches : 21;1,503 (https://www.fotmob.com/en-GB/players/197352/juan-jesus)
178   Rafael Leão Total matches : 22;1,492 (https://www.fotmob.com/en-GB/players/848844/rafael-leao)
179   Tommaso Barbieri Total matches : 22;1,489 (https://www.fotmob.com/en-GB/players/1072056/tommaso-barbieri)
180   Francisco Conceição Total matches : 23;1,482 (https://www.fotmob.com/en-GB/players/1185336/francisco-conceicao)
181   Warren Bondo Total matches : 22;1,482 (https://www.fotmob.com/en-GB/players/1209987/warren-bondo)
182   Marcus Thuram Total matches : 23;1,479 (https://www.fotmob.com/en-GB/players/621562/marcus-thuram)
183   Nicola Zalewski Total matches : 26;1,466 (https://www.fotmob.com/en-GB/players/1053714/nicola-zalewski)
184   Mërgim Vojvoda Total matches : 25;1,460 (https://www.fotmob.com/en-GB/players/560945/mergim-vojvoda)
185   Mario Hermoso Total matches : 19;1,458 (https://www.fotmob.com/en-GB/players/671203/mario-hermoso)
186   Nikola Moro Total matches : 23;1,455 (https://www.fotmob.com/en-GB/players/641595/nikola-moro)
187   Edoardo Corvi Total matches : 16;1,440 (https://www.fotmob.com/en-GB/players/1117310/edoardo-corvi)
188   Pietro Comuzzo Total matches : 22;1,430 (https://www.fotmob.com/en-GB/players/1529222/pietro-comuzzo)
189   Mattéo Guendouzi Total matches : 16;1,430 (https://www.fotmob.com/en-GB/players/800609/matteo-guendouzi)
190   Luis Henrique Total matches : 25;1,421 (https://www.fotmob.com/en-GB/players/1114635/luis-henrique)
191   Jonathan David Total matches : 28;1,420 (https://www.fotmob.com/en-GB/players/939569/jonathan-david)
192   Lukasz Skorupski Total matches : 17;1,414 (https://www.fotmob.com/en-GB/players/178732/lukasz-skorupski)
193   Hakan Çalhanoglu Total matches : 19;1,407 (https://www.fotmob.com/en-GB/players/304733/hakan-calhanoglu)
194   Mehdi Léris Total matches : 27;1,398 (https://www.fotmob.com/en-GB/players/847357/mehdi-leris)
195   Robin Gosens Total matches : 19;1,396 (https://www.fotmob.com/en-GB/players/518346/robin-gosens)
196   Mattéo Tramoni Total matches : 24;1,375 (https://www.fotmob.com/en-GB/players/864006/matteo-tramoni)
197   Gabriele Zappa Total matches : 25;1,370 (https://www.fotmob.com/en-GB/players/949731/gabriele-zappa)
198   Fabiano Parisi Total matches : 20;1,364 (https://www.fotmob.com/en-GB/players/1093285/fabiano-parisi)
199   Nicolò Cambiaghi Total matches : 24;1,362 (https://www.fotmob.com/en-GB/players/1044029/nicolo-cambiaghi)
200   Amir Rrahmani Total matches : 16;1,360 (https://www.fotmob.com/en-GB/players/544693/amir-rrahmani)
201   Gustav Isaksen Total matches : 24;1,358 (https://www.fotmob.com/en-GB/players/1016093/gustav-isaksen)
202   Jakub Piotrowski Total matches : 26;1,357 (https://www.fotmob.com/en-GB/players/689987/jakub-piotrowski)
203   Lorenzo Bernasconi Total matches : 20;1,353 (https://www.fotmob.com/en-GB/players/1191093/lorenzo-bernasconi)
204   Lorenzo Pellegrini Total matches : 22;1,340 (https://www.fotmob.com/en-GB/players/540307/lorenzo-pellegrini)
205   Alessio Zerbin Total matches : 25;1,335 (https://www.fotmob.com/en-GB/players/850295/alessio-zerbin)
206   Sam Beukema Total matches : 18;1,323 (https://www.fotmob.com/en-GB/players/873573/sam-beukema)
207   Henrik Meister Total matches : 22;1,321 (https://www.fotmob.com/en-GB/players/1296413/henrik-meister)
208   Hassane Kamara Total matches : 19;1,305 (https://www.fotmob.com/en-GB/players/488415/hassane-kamara)
209   Petar Sucic Total matches : 27;1,294 (https://www.fotmob.com/en-GB/players/1382000/petar-sucic)
210   Christian Pulisic Total matches : 23;1,291 (https://www.fotmob.com/en-GB/players/688295/christian-pulisic)
211   Alessandro Zanoli Total matches : 19;1,290 (https://www.fotmob.com/en-GB/players/916710/alessandro-zanoli)
212   Marius Marin Total matches : 23;1,287 (https://www.fotmob.com/en-GB/players/812549/marius-marin)
213   Matteo Cancellieri Total matches : 23;1,278 (https://www.fotmob.com/en-GB/players/1146500/matteo-cancellieri)
214   Unai Núñez Total matches : 17;1,265 (https://www.fotmob.com/en-GB/players/805352/unai-nunez)
215   Armel Bella-Kotchap Total matches : 17;1,264 (https://www.fotmob.com/en-GB/players/951765/armel-bella-kotchap)
216   Martín Payero Total matches : 20;1,263 (https://www.fotmob.com/en-GB/players/874621/martin-payero)
217   Rafik Belghali Total matches : 18;1,260 (https://www.fotmob.com/en-GB/players/1231029/rafik-belghali)
218   Cher Ndour Total matches : 25;1,246 (https://www.fotmob.com/en-GB/players/1246009/cher-ndour)
219   Roberto Piccoli Total matches : 26;1,244 (https://www.fotmob.com/en-GB/players/1017401/roberto-piccoli)
220   Jens Odgaard Total matches : 22;1,244 (https://www.fotmob.com/en-GB/players/689680/jens-odgaard)
221   Nikola Krstovic Total matches : 26;1,240 (https://www.fotmob.com/en-GB/players/833638/nikola-krstovic)
222   Gianluca Gaetano Total matches : 25;1,240 (https://www.fotmob.com/en-GB/players/1012842/gianluca-gaetano)
223   Carlos Augusto Total matches : 27;1,235 (https://www.fotmob.com/en-GB/players/940829/carlos-augusto)
224   M'Bala Nzola Total matches : 23;1,235 (https://www.fotmob.com/en-GB/players/613334/mbala-nzola)
225   Kingsley Ehizibue Total matches : 25;1,234 (https://www.fotmob.com/en-GB/players/586474/kingsley-ehizibue)
226   Gvidas Gineitis Total matches : 22;1,223 (https://www.fotmob.com/en-GB/players/1421505/gvidas-gineitis)
227   Martin Vitík Total matches : 17;1,221 (https://www.fotmob.com/en-GB/players/1198712/martin-vitik)
228   Luca Pellegrini Total matches : 21;1,220 (https://www.fotmob.com/en-GB/players/807148/luca-pellegrini)
229   Lameck Banda Total matches : 24;1,217 (https://www.fotmob.com/en-GB/players/896377/lameck-banda)
230   Maxence Caqueret Total matches : 24;1,213 (https://www.fotmob.com/en-GB/players/846000/maxence-caqueret)
231   Morten Thorsby Total matches : 20;1,209 (https://www.fotmob.com/en-GB/players/439148/morten-thorsby)
232   Giorgio Scalvini Total matches : 16;1,207 (https://www.fotmob.com/en-GB/players/1202358/giorgio-scalvini)
233   Henrikh Mkhitaryan Total matches : 22;1,204 (https://www.fotmob.com/en-GB/players/73167/henrikh-mkhitaryan)
234   Francesco Pio Esposito Total matches : 28;1,201 (https://www.fotmob.com/en-GB/players/1367618/francesco-pio-esposito)
235   Zé Pedro Total matches : 16;1,201 (https://www.fotmob.com/en-GB/players/957107/ze-pedro)
236   Federico Ravaglia Total matches : 14;1,199 (https://www.fotmob.com/en-GB/players/793041/federico-ravaglia)
237   Lewis Ferguson Total matches : 20;1,190 (https://www.fotmob.com/en-GB/players/888921/lewis-ferguson)
238   Alberto Grassi Total matches : 22;1,189 (https://www.fotmob.com/en-GB/players/575364/alberto-grassi)
239   Toma Basic Total matches : 16;1,180 (https://www.fotmob.com/en-GB/players/651435/toma-basic)
240   Ivan Smolcic Total matches : 20;1,177 (https://www.fotmob.com/en-GB/players/1353289/ivan-smolcic)
241   Zion Suzuki Total matches : 13;1,170 (https://www.fotmob.com/en-GB/players/1053679/zion-suzuki)
242   Simon Sohm Total matches : 23;1,165 (https://www.fotmob.com/en-GB/players/975242/simon-sohm)
243   Raoul Bellanova Total matches : 18;1,160 (https://www.fotmob.com/en-GB/players/902651/raoul-bellanova)
244   Patrizio Masini Total matches : 22;1,156 (https://www.fotmob.com/en-GB/players/1189223/patrizio-masini)
245   Jonathan Rowe Total matches : 20;1,156 (https://www.fotmob.com/en-GB/players/1113694/jonathan-rowe)
246   Youssef Maleh Total matches : 17;1,150 (https://www.fotmob.com/en-GB/players/789243/youssef-maleh)
247   Gianluca Scamacca Total matches : 20;1,145 (https://www.fotmob.com/en-GB/players/721089/gianluca-scamacca)
248   Tommaso Pobega Total matches : 20;1,137 (https://www.fotmob.com/en-GB/players/790732/tommaso-pobega)
249   Kristjan Asllani Total matches : 15;1,135 (https://www.fotmob.com/en-GB/players/1208969/kristjan-asllani)
250   Adrien Tamèze Total matches : 22;1,109 (https://www.fotmob.com/en-GB/players/426393/adrien-tameze)
251   Suat Serdar Total matches : 20;1,108 (https://www.fotmob.com/en-GB/players/667790/suat-serdar)
252   Arturo Calabresi Total matches : 20;1,085 (https://www.fotmob.com/en-GB/players/583659/arturo-calabresi)
253   Riccardo Sottil Total matches : 21;1,072 (https://www.fotmob.com/en-GB/players/933817/riccardo-sottil)
254   Paulo Dybala Total matches : 17;1,056 (https://www.fotmob.com/en-GB/players/325916/paulo-dybala)
255   Samuele Ricci Total matches : 25;1,052 (https://www.fotmob.com/en-GB/players/941656/samuele-ricci)
